person,value,valueLabel,Born,Child
http://www.wikidata.org/entity/Q22814189,http://www.wikidata.org/entity/Q121594,professor,1909-10-13T00:00:00Z,http://www.wikidata.org/entity/Q11725332
http://www.wikidata.org/entity/Q22226801,http://www.wikidata.org/entity/Q121594,professor,1911-08-02T00:00:00Z,http://www.wikidata.org/entity/Q22226802
http://www.wikidata.org/entity/Q22226801,http://www.wikidata.org/entity/Q121594,professor,1911-08-02T00:00:00Z,http://www.wikidata.org/entity/Q66689701
http://www.wikidata.org/entity/Q22665471,http://www.wikidata.org/entity/Q121594,professor,1930-05-07T00:00:00Z,http://www.wikidata.org/entity/Q22665472
http://www.wikidata.org/entity/Q26923616,http://www.wikidata.org/entity/Q121594,professor,1921-06-15T00:00:00Z,http://www.wikidata.org/entity/Q26922919
http://www.wikidata.org/entity/Q27055012,http://www.wikidata.org/entity/Q121594,professor,1930-11-24T00:00:00Z,http://www.wikidata.org/entity/Q10861351
http://www.wikidata.org/entity/Q27055012,http://www.wikidata.org/entity/Q121594,professor,1930-11-24T00:00:00Z,http://www.wikidata.org/entity/Q22075654
http://www.wikidata.org/entity/Q26703522,http://www.wikidata.org/entity/Q121594,professor,1923-01-14T00:00:00Z,http://www.wikidata.org/entity/Q23019271
http://www.wikidata.org/entity/Q28038527,http://www.wikidata.org/entity/Q121594,professor,1920-09-27T00:00:00Z,http://www.wikidata.org/entity/Q11749366
http://www.wikidata.org/entity/Q28584614,http://www.wikidata.org/entity/Q121594,professor,1936-10-25T00:00:00Z,http://www.wikidata.org/entity/Q28584513
http://www.wikidata.org/entity/Q30067503,http://www.wikidata.org/entity/Q121594,professor,1949-01-04T00:00:00Z,http://www.wikidata.org/entity/Q95177891
http://www.wikidata.org/entity/Q29906704,http://www.wikidata.org/entity/Q121594,professor,1902-06-17T00:00:00Z,http://www.wikidata.org/entity/Q4134095
http://www.wikidata.org/entity/Q34450026,http://www.wikidata.org/entity/Q121594,professor,1931-08-10T00:00:00Z,http://www.wikidata.org/entity/Q25486265
http://www.wikidata.org/entity/Q30129259,http://www.wikidata.org/entity/Q121594,professor,1943-07-29T00:00:00Z,http://www.wikidata.org/entity/Q21062190
http://www.wikidata.org/entity/Q30089952,http://www.wikidata.org/entity/Q121594,professor,1963-05-14T00:00:00Z,http://www.wikidata.org/entity/Q88565431
http://www.wikidata.org/entity/Q47119271,http://www.wikidata.org/entity/Q121594,professor,1931-09-15T00:00:00Z,http://www.wikidata.org/entity/Q50705551
http://www.wikidata.org/entity/Q60812003,http://www.wikidata.org/entity/Q121594,professor,1925-03-20T00:00:00Z,http://www.wikidata.org/entity/Q106519463
http://www.wikidata.org/entity/Q60153664,http://www.wikidata.org/entity/Q121594,professor,1906-08-19T00:00:00Z,http://www.wikidata.org/entity/Q12273847
http://www.wikidata.org/entity/Q57260920,http://www.wikidata.org/entity/Q121594,professor,1905-01-01T00:00:00Z,http://www.wikidata.org/entity/Q88798024
http://www.wikidata.org/entity/Q56649525,http://www.wikidata.org/entity/Q121594,professor,1940-02-01T00:00:00Z,http://www.wikidata.org/entity/Q56649722
http://www.wikidata.org/entity/Q67213509,http://www.wikidata.org/entity/Q121594,professor,1939-08-19T00:00:00Z,http://www.wikidata.org/entity/Q50576223
http://www.wikidata.org/entity/Q62102518,http://www.wikidata.org/entity/Q121594,professor,1926-01-01T00:00:00Z,http://www.wikidata.org/entity/Q21062173
http://www.wikidata.org/entity/Q80827091,http://www.wikidata.org/entity/Q121594,professor,1927-04-20T00:00:00Z,http://www.wikidata.org/entity/Q2033831
http://www.wikidata.org/entity/Q80827091,http://www.wikidata.org/entity/Q121594,professor,1927-04-20T00:00:00Z,http://www.wikidata.org/entity/Q107213142
http://www.wikidata.org/entity/Q77207528,http://www.wikidata.org/entity/Q121594,professor,1903-02-03T00:00:00Z,http://www.wikidata.org/entity/Q1424356
http://www.wikidata.org/entity/Q95227309,http://www.wikidata.org/entity/Q121594,professor,1936-11-09T00:00:00Z,http://www.wikidata.org/entity/Q90832820
http://www.wikidata.org/entity/Q95077845,http://www.wikidata.org/entity/Q121594,professor,1944-07-07T00:00:00Z,http://www.wikidata.org/entity/Q37830447
http://www.wikidata.org/entity/Q95077845,http://www.wikidata.org/entity/Q121594,professor,1944-07-07T00:00:00Z,http://www.wikidata.org/entity/Q53705089
http://www.wikidata.org/entity/Q100415128,http://www.wikidata.org/entity/Q121594,professor,1934-12-20T00:00:00Z,http://www.wikidata.org/entity/Q106166221
http://www.wikidata.org/entity/Q99314830,http://www.wikidata.org/entity/Q121594,professor,1936-04-29T00:00:00Z,http://www.wikidata.org/entity/Q12288694
http://www.wikidata.org/entity/Q105332693,http://www.wikidata.org/entity/Q121594,professor,1933-04-29T00:00:00Z,http://www.wikidata.org/entity/Q823357
http://www.wikidata.org/entity/Q109714124,http://www.wikidata.org/entity/Q121594,professor,1952-01-01T00:00:00Z,http://www.wikidata.org/entity/Q11768503
http://www.wikidata.org/entity/Q158813,http://www.wikidata.org/entity/Q163727,bachelor's degree,1955-08-24T00:00:00Z,http://www.wikidata.org/entity/Q5235201
http://www.wikidata.org/entity/Q158813,http://www.wikidata.org/entity/Q163727,bachelor's degree,1955-08-24T00:00:00Z,http://www.wikidata.org/entity/Q27986907
http://www.wikidata.org/entity/Q23728,http://www.wikidata.org/entity/Q163727,bachelor's degree,1947-07-02T00:00:00Z,http://www.wikidata.org/entity/Q41783715
http://www.wikidata.org/entity/Q23728,http://www.wikidata.org/entity/Q163727,bachelor's degree,1947-07-02T00:00:00Z,http://www.wikidata.org/entity/Q78909850
http://www.wikidata.org/entity/Q6294,http://www.wikidata.org/entity/Q163727,bachelor's degree,1947-10-26T00:00:00Z,http://www.wikidata.org/entity/Q229671
http://www.wikidata.org/entity/Q334871,http://www.wikidata.org/entity/Q163727,bachelor's degree,1960-10-31T00:00:00Z,http://www.wikidata.org/entity/Q55432895
http://www.wikidata.org/entity/Q434706,http://www.wikidata.org/entity/Q163727,bachelor's degree,1949-06-22T00:00:00Z,http://www.wikidata.org/entity/Q22673677
http://www.wikidata.org/entity/Q434706,http://www.wikidata.org/entity/Q163727,bachelor's degree,1949-06-22T00:00:00Z,http://www.wikidata.org/entity/Q22673686
http://www.wikidata.org/entity/Q106538945,http://www.wikidata.org/entity/Q121594,professor,1928-03-19T00:00:00Z,http://www.wikidata.org/entity/Q106538779
http://www.wikidata.org/entity/Q105554620,http://www.wikidata.org/entity/Q121594,professor,1938-05-12T00:00:00Z,http://www.wikidata.org/entity/Q2269544
http://www.wikidata.org/entity/Q105554620,http://www.wikidata.org/entity/Q121594,professor,1938-05-12T00:00:00Z,http://www.wikidata.org/entity/Q4948279
http://www.wikidata.org/entity/Q30905721,http://www.wikidata.org/entity/Q163727,bachelor's degree,1986-08-21T00:00:00Z,http://www.wikidata.org/entity/Q106833013
http://www.wikidata.org/entity/Q25706652,http://www.wikidata.org/entity/Q163727,bachelor's degree,1930-10-30T00:00:00Z,http://www.wikidata.org/entity/Q24849508
http://www.wikidata.org/entity/Q25706652,http://www.wikidata.org/entity/Q163727,bachelor's degree,1930-10-30T00:00:00Z,http://www.wikidata.org/entity/Q45832327
http://www.wikidata.org/entity/Q25706652,http://www.wikidata.org/entity/Q163727,bachelor's degree,1930-10-30T00:00:00Z,http://www.wikidata.org/entity/Q47491099
http://www.wikidata.org/entity/Q25706652,http://www.wikidata.org/entity/Q163727,bachelor's degree,1930-10-30T00:00:00Z,http://www.wikidata.org/entity/Q47524192
